DESCRICAO_EVENTO,CASE_ID,DATA_HORA_EVENTO,RESPONSAVEL_EVENTO,_PROCESSING_TIMESTAMP
01.00 - Reserva realizada,24475,2021-06-07 08:00:56,Teresa Aguilar,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,25043,2021-04-20 10:47:04,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24953,2021-04-20 11:31:24,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24966,2021-04-20 12:41:29,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24963,2021-04-20 12:41:31,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,444,2021-04-24 17:55:23,Robin Williams,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24789,2021-05-01 12:34:24,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24709,2021-05-03 17:02:02,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24823,2021-05-15 15:08:35,Teresa Aguilar,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23538,2021-05-17 13:09:42,Connor Nelson,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23634,2021-05-22 18:06:05,Teresa Aguilar,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23368,2021-05-30 13:13:52,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23318,2021-06-01 15:29:48,Scott Watts,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24123,2021-06-08 09:20:59,Connor Nelson,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,24100,2021-06-14 12:58:57,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,100577,2021-06-19 18:00:40,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23884,2021-06-20 09:10:02,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,23851,2021-06-23 12:20:34,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26435,2021-07-04 10:27:51,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26475,2021-07-05 07:30:41,Elizabeth Booker,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26634,2021-07-05 16:55:40,Teresa Aguilar,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26661,2021-07-06 10:20:27,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,27014,2021-07-18 21:15:15,Teresa Aguilar,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26966,2021-07-20 10:40:04,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,27162,2021-07-21 08:24:12,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26737,2021-07-25 10:05:15,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26691,2021-07-25 12:01:42,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26801,2021-07-27 10:35:51,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26842,2021-07-27 11:13:22,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,25505,2021-07-27 13:03:40,Maria Moore,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99898,2019-09-29 12:56:29,Jordan Hodges,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99876,2019-11-22 13:05:32,Jordan Hodges,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99626,2021-02-26 08:18:48,Stacy Ochoa,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26019,2021-04-28 15:07:44,Erica Diaz,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,25948,2021-05-09 10:38:56,Timothy Williams,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,25957,2021-05-30 09:26:54,Wesley Evans,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,26129,2021-06-02 13:21:57,Wesley Evans,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69150,2021-04-18 16:04:32,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68826,2021-04-18 16:04:45,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68957,2021-04-18 16:04:53,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68919,2021-04-18 16:04:59,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,67702,2021-04-18 16:12:17,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68165,2021-04-18 16:19:27,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68135,2021-04-18 16:19:36,Sherry Berg,2022-11-22 00:02:07.666219
